year_no,week_no,year_week,close_average
2011,29,2011-29,643.79
2011,30,2011-30,643.194
2011,31,2011-31,592.222
2011,32,2011-32,546.77
2011,33,2011-33,555.578
2011,34,2011-34,537.762
2011,35,2011-35,563.336
2011,36,2011-36,549.524
2011,37,2011-37,538.678
2011,38,2011-38,532.334
2011,39,2011-39,540.56
2011,40,2011-40,535.692
2011,41,2011-41,564.656
2011,42,2011-42,560.354
2011,43,2011-43,593.726
2011,44,2011-44,581.106
2011,45,2011-45,580.928
2011,46,2011-46,575.706
2011,47,2011-47,536.816
2011,48,2011-48,571.236
2011,49,2011-49,582.492
2011,50,2011-50,563.002
2011,51,2011-51,574.94
2011,52,2011-52,586.185
2012,1,2012-01,607.132
2012,2,2012-02,610.866
2012,3,2012-03,623.64
2012,4,2012-04,623.942
2012,5,2012-05,631.63
2012,6,2012-06,652.444
2012,7,2012-07,665.894
2012,8,2012-08,677.99
2012,9,2012-09,678.772
2012,10,2012-10,664.718
2012,11,2012-11,680.176
2012,12,2012-12,672.48
2012,13,2012-13,665.762
2012,14,2012-14,662.243
2012,15,2012-15,637.158
2012,16,2012-16,646.062
2012,17,2012-17,637.114
2012,18,2012-18,644.28
2012,19,2012-19,627.72
2012,20,2012-20,599.755
2012,21,2012-21,598.09
2012,22,2012-22,592.784
2012,23,2012-23,580.836
2012,24,2012-24,595.966
2012,25,2012-25,609.574
2012,26,2012-26,604.356
2012,27,2012-27,637.386
2012,28,2012-28,638.26
2012,29,2012-29,650.334
2012,30,2012-30,654.592
2012,31,2012-31,682.638
2012,32,2012-32,696.8
2012,33,2012-33,701.336
2012,34,2012-34,695.296
2012,35,2012-35,684.392
2012,36,2012-36,679.346
2012,37,2012-37,689.664
2012,38,2012-38,695.714
2012,39,2012-39,694.128
2012,40,2012-40,688.39
2012,41,2012-41,677.868
2012,42,2012-42,683.452
2012,43,2012-43,672.736
2012,44,2012-44,672.954
2012,45,2012-45,672.41
2012,46,2012-46,663.256
2012,47,2012-47,673.632
2012,48,2012-48,680.354
2012,49,2012-49,689.352
2012,50,2012-50,693.774
2012,51,2012-51,694.848
2012,52,2012-52,696.805
2013,1,2013-01,745.295
2013,2,2013-02,719.392
2013,3,2013-03,722.226
2013,4,2013-04,729.57
2013,5,2013-05,743.032
2013,6,2013-06,752.764
2013,7,2013-07,752.802
2013,8,2013-08,761.86
2013,9,2013-09,763.826
2013,10,2013-10,782.062
2013,11,2013-11,782.628
2013,12,2013-12,767.008
2013,13,2013-13,763.673
