year_no,week_no,year_week,close_average
2013,42,2013-42,10069.75
2013,43,2013-43,10275.33
2013,44,2013-44,10272.28
2013,45,2013-45,10281.59
2013,46,2013-46,10388.29
2013,47,2013-47,10491.08
2013,48,2013-48,10499.04
2013,49,2013-49,10296.77
2013,50,2013-50,10246.52
2013,51,2013-51,10313.47
2013,52,2013-52,10585.9
2014,1,2014-01,11390.27
2014,2,2014-02,10685.87
2014,3,2014-03,10751.44
2014,4,2014-04,10721.73
2014,5,2014-05,10415.66
2014,6,2014-06,10444.22
2014,7,2014-07,10769.06
2014,8,2014-08,10924.69
2014,9,2014-09,11126.08
2014,10,2014-10,11050.87
2014,11,2014-11,10891.42
2014,12,2014-12,10890.86
2014,13,2014-13,10888.34
2014,14,2014-14,11153.84
2014,15,2014-15,11029.48
2014,16,2014-16,10925.28
2014,17,2014-17,11098.76
2014,18,2014-18,11096.42
2014,19,2014-19,11080.51
2014,20,2014-20,11225.06
2014,21,2014-21,11313.25
2014,22,2014-22,11466.9
2014,23,2014-23,11526.68
2014,24,2014-24,11631.43
2014,25,2014-25,11583.21
2014,26,2014-26,11584.17
2014,27,2014-27,11643.1
2014,28,2014-28,11512.17
2014,29,2014-29,11576.08
2014,30,2014-30,11694.2
2014,31,2014-31,11602.28
2014,32,2014-32,11321.66
2014,33,2014-33,11338.1
2014,34,2014-34,11533.47
2014,35,2014-35,11675.66
2014,36,2014-36,11726.32
2014,37,2014-37,11717.38
2014,38,2014-38,11896.79
2014,39,2014-39,11890.14
2014,40,2014-40,11679.15
2014,41,2014-41,11261.88
2014,42,2014-42,10861.63
2014,43,2014-43,11296.34
2014,44,2014-44,11662.39
2014,45,2014-45,11685.47
2014,46,2014-46,11706.4
2014,47,2014-47,11796.49
2014,48,2014-48,12013.81
2014,49,2014-49,11933.34
2014,50,2014-50,11803.02
2014,51,2014-51,11594.11
2014,52,2014-52,11966.64
2015,1,2015-01,11916.54
2015,2,2015-02,11764.62
2015,3,2015-03,11967.25
2015,4,2015-04,12448.48
2015,5,2015-05,12761.06
2015,6,2015-06,12953.17
2015,7,2015-07,13054.3
2015,8,2015-08,13402.32
2015,9,2015-09,13673.04
2015,10,2015-10,13517.62
2015,11,2015-11,13481.3
2015,12,2015-12,13811.13
2015,13,2015-13,13852.21
2015,14,2015-14,13892.44
2015,15,2015-15,14187.9
2015,16,2015-16,14212.97
2015,17,2015-17,14173.86
2015,18,2015-18,13818.24
2015,19,2015-19,13436.76
2015,20,2015-20,13566.42
2015,21,2015-21,13721.88
2015,22,2015-22,13779.65
2015,23,2015-23,13638.34
2015,24,2015-24,13313.79
2015,25,2015-25,12988.32
2015,26,2015-26,13354.38
2015,27,2015-27,12988.71
2015,28,2015-28,12864.89
2015,29,2015-29,13555.55
2015,30,2015-30,13648.19
2015,31,2015-31,13459.83
2015,32,2015-32,13689.55
2015,33,2015-33,13447.2
2015,34,2015-34,13052.97
2015,35,2015-35,12396.63
2015,36,2015-36,12421.83
2015,37,2015-37,12508.25
2015,38,2015-38,12358.44
2015,39,2015-39,12072.04
2015,40,2015-40,11914.08
2015,41,2015-41,12362.43
2015,42,2015-42,12279.48
2015,43,2015-43,12478.44
2015,44,2015-44,12574.61
2015,45,2015-45,12784.19
2015,46,2015-46,12650.06
2015,47,2015-47,12729.2
2015,48,2015-48,12735.07
2015,49,2015-49,12803.98
2015,50,2015-50,12315.88
2015,51,2015-51,12160.34
2015,52,2015-52,12210.04
2015,53,2015-53,12305.13
2016,1,2016-01,11915.59
2016,2,2016-02,11649.11
2016,3,2016-03,11428.56
2016,4,2016-04,11773.83
2016,5,2016-05,11481.89
2016,6,2016-06,10878.79
2016,7,2016-07,11458.26
2016,8,2016-08,11585.81
2016,9,2016-09,11839.23
2016,10,2016-10,11881.84
2016,11,2016-11,11866.21
2016,12,2016-12,11608.65
2016,13,2016-13,11519.52
2016,14,2016-14,11400.89
2016,15,2016-15,11572.65
2016,16,2016-16,11776.13
