year_no,week_no,year_week,swe,nor
2007,4,2007-04,15.1,
2007,5,2007-05,15.1,
2007,6,2007-06,15.1,
2007,7,2007-07,15.1,
2007,8,2007-08,15.1,
2007,9,2007-09,15.1,
2007,10,2007-10,15.1,
2007,11,2007-11,15.1,
2007,12,2007-12,15.1,
2007,13,2007-13,15.1,
2007,14,2007-14,15.1,
2007,15,2007-15,15.1,
2007,16,2007-16,15.1,
2007,17,2007-17,15.1,
2007,18,2007-18,15.1,
2007,19,2007-19,15.1,
2007,20,2007-20,15.1,
2007,21,2007-21,15.1,
2007,22,2007-22,15.1,
2007,23,2007-23,15.1,
2007,24,2007-24,15.1,
2007,25,2007-25,15.1,
2007,26,2007-26,15.1,
2007,27,2007-27,15.1,
2007,28,2007-28,15.1,
2007,29,2007-29,15.1,
2007,30,2007-30,15.1,
2007,31,2007-31,15.1,
2007,32,2007-32,15.1,
2007,33,2007-33,15.1,
2007,34,2007-34,15.1,
2007,35,2007-35,15.1,
2007,36,2007-36,15.1,
2007,37,2007-37,15.1,
2007,38,2007-38,15.1,
2007,39,2007-39,15.1,
2007,40,2007-40,15.1,
2007,41,2007-41,15.1,
2007,42,2007-42,15.1,
2007,43,2007-43,15.1,
2007,44,2007-44,15.1,
2007,45,2007-45,15.1,
2007,46,2007-46,15.1,
2007,47,2007-47,15.1,
2007,48,2007-48,15.1,
2007,49,2007-49,15.1,
2007,50,2007-50,15.1,
2007,51,2007-51,15.1,
2007,52,2007-52,15.1,
2008,1,2008-01,16.3,
2008,2,2008-02,16.3,
2008,3,2008-03,16.3,
2008,4,2008-04,16.3,
2008,5,2008-05,16.3,
2008,6,2008-06,16.3,
2008,7,2008-07,16.3,
2008,8,2008-08,16.3,
2008,9,2008-09,16.3,
2008,10,2008-10,16.3,
2008,11,2008-11,16.3,
2008,12,2008-12,16.3,
2008,13,2008-13,16.3,
2008,14,2008-14,16.3,
2008,15,2008-15,16.3,
2008,16,2008-16,16.3,
2008,17,2008-17,16.3,
2008,18,2008-18,16.3,
2008,19,2008-19,16.3,
2008,20,2008-20,16.3,
2008,21,2008-21,16.3,
2008,22,2008-22,16.3,
2008,23,2008-23,16.3,
2008,24,2008-24,16.3,
2008,25,2008-25,16.3,
2008,26,2008-26,16.3,
2008,27,2008-27,16.3,
2008,28,2008-28,16.3,
2008,29,2008-29,16.3,
2008,30,2008-30,16.3,
2008,31,2008-31,16.3,
2008,32,2008-32,16.3,
2008,33,2008-33,16.3,
2008,34,2008-34,16.3,
2008,35,2008-35,16.3,
2008,36,2008-36,16.3,
2008,37,2008-37,16.3,
2008,38,2008-38,16.3,
2008,39,2008-39,16.3,
2008,40,2008-40,16.3,
2008,41,2008-41,16.3,
2008,42,2008-42,16.3,
2008,43,2008-43,16.3,
2008,44,2008-44,16.3,
2008,45,2008-45,16.3,
2008,46,2008-46,16.3,
2008,47,2008-47,16.3,
2008,48,2008-48,16.3,
2008,49,2008-49,16.3,
