year_no,week_no,year_week,close_average
2009,13,2009-13,6052.92
2009,14,2009-14,6109.16
2009,15,2009-15,6286.06
2009,16,2009-16,6637.99
2009,17,2009-17,6815.07
2009,18,2009-18,6852.42
2009,19,2009-19,7178.72
2009,20,2009-20,7020.88
2009,21,2009-21,7174.82
2009,22,2009-22,7115.61
2009,23,2009-23,7240.23
2009,24,2009-24,7297.35
2009,25,2009-25,7207.26
2009,26,2009-26,7052.89
2009,27,2009-27,7200.88
2009,28,2009-28,7023.04
2009,29,2009-29,7247.31
2009,30,2009-30,7465.68
2009,31,2009-31,7432.14
2009,32,2009-32,7550.91
2009,33,2009-33,7533.44
2009,34,2009-34,7513.35
2009,35,2009-35,7754.83
2009,36,2009-36,7633.61
2009,37,2009-37,7876.83
2009,38,2009-38,7915.82
2009,39,2009-39,7838.15
2009,40,2009-40,7722.01
2009,41,2009-41,7741.02
2009,42,2009-42,7929.96
2009,43,2009-43,7985.12
2009,44,2009-44,7873.88
2009,45,2009-45,7924.67
2009,46,2009-46,8080.86
2009,47,2009-47,8128.43
2009,48,2009-48,8125.22
2009,49,2009-49,8078.1
2009,50,2009-50,8090.26
2009,51,2009-51,8081.97
2009,52,2009-52,8154.57
2009,53,2009-53,8128.37
2010,1,2010-01,8259.19
2010,2,2010-02,8299.83
2010,3,2010-03,8161.05
2010,4,2010-04,8080.79
2010,5,2010-05,8211.78
2010,6,2010-06,7971.85
2010,7,2010-07,7975.75
2010,8,2010-08,7979.46
2010,9,2010-09,8202.94
2010,10,2010-10,8433.32
2010,11,2010-11,8572
2010,12,2010-12,8666.89
2010,13,2010-13,8692.52
2010,14,2010-14,8821.49
2010,15,2010-15,8876.02
2010,16,2010-16,8834.44
2010,17,2010-17,8798.51
2010,18,2010-18,8434.07
2010,19,2010-19,8440
2010,20,2010-20,8202.43
2010,21,2010-21,8060.57
2010,22,2010-22,8236.43
2010,23,2010-23,8278.44
2010,24,2010-24,8577.57
2010,25,2010-25,8483.02
2010,26,2010-26,8089.98
2010,27,2010-27,8195.36
2010,28,2010-28,8393.82
2010,29,2010-29,8402.14
2010,30,2010-30,8481.68
2010,31,2010-31,8610.03
2010,32,2010-32,8471.07
2010,33,2010-33,8408.1
2010,34,2010-34,8113.61
2010,35,2010-35,8266.39
2010,36,2010-36,8480.07
2010,37,2010-37,8606.26
2010,38,2010-38,8593.1
2010,39,2010-39,8572.09
2010,40,2010-40,8613.55
2010,41,2010-41,8717.89
2010,42,2010-42,8754.23
2010,43,2010-43,8814.45
2010,44,2010-44,8791.09
2010,45,2010-45,8848.67
2010,46,2010-46,8820.79
2010,47,2010-47,8782.93
2010,48,2010-48,8836.97
2010,49,2010-49,8995.72
2010,50,2010-50,9076.11
2010,51,2010-51,9197.71
2010,52,2010-52,9222.68
2011,1,2011-01,9263
2011,2,2011-02,9275.83
2011,3,2011-03,9175.53
2011,4,2011-04,9129.7
2011,5,2011-05,9072.34
2011,6,2011-06,9029.6
2011,7,2011-07,8907.62
2011,8,2011-08,8818.72
2011,9,2011-09,8861.34
2011,10,2011-10,8877.01
2011,11,2011-11,8611.8
2011,12,2011-12,8879.62
2011,13,2011-13,9024.65
2011,14,2011-14,9195.98
2011,15,2011-15,9043.64
2011,16,2011-16,8884.95
2011,17,2011-17,9101.57
2011,18,2011-18,9059.02
2011,19,2011-19,9074.3
2011,20,2011-20,9059.96
2011,21,2011-21,8871.26
2011,22,2011-22,8860.58
2011,23,2011-23,8624.7
2011,24,2011-24,8482.26
2011,25,2011-25,8294.46
2011,26,2011-26,8466.95
2011,27,2011-27,8662.02
2011,28,2011-28,8457.21
2011,29,2011-29,8371.18
2011,30,2011-30,8276.95
2011,31,2011-31,7651.66
2011,32,2011-32,7214.12
2011,33,2011-33,7291.44
2011,34,2011-34,7026.07
2011,35,2011-35,7355.49
2011,36,2011-36,7073.52
2011,37,2011-37,7078.76
2011,38,2011-38,7031.44
2011,39,2011-39,7136.83
2011,40,2011-40,7024.18
2011,41,2011-41,7381.89
2011,42,2011-42,7326.79
2011,43,2011-43,7703.14
2011,44,2011-44,7546.8
2011,45,2011-45,7556.82
2011,46,2011-46,7560.88
2011,47,2011-47,7125.21
2011,48,2011-48,7498.19
2011,49,2011-49,7555.61
2011,50,2011-50,7330.77
2011,51,2011-51,7415.67
2011,52,2011-52,7531.09
2012,1,2012-01,7878.46
2012,2,2012-02,7740.47
2012,3,2012-03,7868
2012,4,2012-04,7910.92
2012,5,2012-05,8029.08
2012,6,2012-06,8232.84
2012,7,2012-07,8400.82
2012,8,2012-08,8594.13
2012,9,2012-09,8609.19
2012,10,2012-10,8490.66
2012,11,2012-11,8688.05
2012,12,2012-12,8585.93
2012,13,2012-13,8476.74
2012,14,2012-14,8360.36
2012,15,2012-15,8117.64
2012,16,2012-16,8197.37
2012,17,2012-17,8132.3
2012,18,2012-18,8248.64
2012,19,2012-19,8074.72
2012,20,2012-20,7860.11
2012,21,2012-21,7779.49
2012,22,2012-22,7674.27
2012,23,2012-23,7519.5
2012,24,2012-24,7597.28
2012,25,2012-25,7740.07
2012,26,2012-26,7654.18
2012,27,2012-27,7960.99
2012,28,2012-28,7887.66
2012,29,2012-29,7982.66
2012,30,2012-30,7958.72
2012,31,2012-31,8148.22
2012,32,2012-32,8276.76
2012,33,2012-33,8308.04
2012,34,2012-34,8269.83
2012,35,2012-35,8169.78
2012,36,2012-36,8235.34
2012,37,2012-37,8423.7
2012,38,2012-38,8526.53
2012,39,2012-39,8435.71
2012,40,2012-40,8479.92
2012,41,2012-41,8415.18
2012,42,2012-42,8475.44
2012,43,2012-43,8365.53
2012,44,2012-44,8326.37
2012,45,2012-45,8280.51
2012,46,2012-46,8226.79
2012,47,2012-47,8356.61
2012,48,2012-48,8442.83
2012,49,2012-49,8554.36
2012,50,2012-50,8663.02
2012,51,2012-51,8654.01
2012,52,2012-52,8625.84
2013,1,2013-01,9539.04
2013,2,2013-02,8863.46
2013,3,2013-03,8978.25
2013,4,2013-04,9104.39
2013,5,2013-05,9204.56
2013,6,2013-06,9294.04
2013,7,2013-07,9233.05
2013,8,2013-08,9280.85
2013,9,2013-09,9270.05
2013,10,2013-10,9365.35
2013,11,2013-11,9377.21
2013,12,2013-12,9230.12
2013,13,2013-13,9163.76
