year_no,week_no,year_week,1EUR,100SEK
2018,33,2018-33,9.58,91.862
2018,34,2018-34,9.68,91.992
2018,35,2018-35,9.721,91.312
2018,36,2018-36,9.744,92.284
2018,37,2018-37,9.642,91.974
2018,38,2018-38,9.565,92.106
2018,39,2018-39,9.531,92.15
2018,40,2018-40,9.462,91.088
2018,41,2018-41,9.484,90.946
2018,42,2018-42,9.444,91.352
2018,43,2018-43,9.493,91.552
2018,44,2018-44,9.528,91.896
2018,45,2018-45,9.53,92.488
2018,46,2018-46,9.582,93.416
2018,47,2018-47,9.714,94.276
2018,48,2018-48,9.728,94.512
2018,49,2018-49,9.677,94.608
2018,50,2018-50,9.716,94.236
2018,51,2018-51,9.889,96.168
2018,52,2018-52,9.972,97.05
